using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=1, C=1, eta=0.1
i=0, infea=0.166915, nnz_a=1.99933, nnz_b=2, uni_search=1.39123, uni_subSolve=0.0212008, uni_maintain=0.00953078, bi_search=44.601, bi_subSolve=0.0461699, bi_maintain=0.162285, admm_maintain=0.0194735, area1=-nan, area23=-nan, area4=-nan, dual_obj=-996.128, overall time=46.8622
i=1, infea=0.30079, nnz_a=2.97976, nnz_b=2.98339, uni_search=1.3344, uni_subSolve=0.0271097, uni_maintain=0.0141232, bi_search=41.6476, bi_subSolve=0.0414327, bi_maintain=0.160414, admm_maintain=0.0212185, area1=-nan, area23=-nan, area4=-nan, dual_obj=-1914.67, overall time=90.2344
i=2, infea=0.412691, nnz_a=3.90282, nnz_b=3.93871, uni_search=1.16318, uni_subSolve=0.0281454, uni_maintain=0.0215722, bi_search=38.0634, bi_subSolve=0.0403933, bi_maintain=0.160471, admm_maintain=0.0286684, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2780.7, overall time=129.855
i=3, infea=0.506558, nnz_a=4.76295, nnz_b=4.86795, uni_search=1.65148, uni_subSolve=0.0418205, uni_maintain=0.0359795, bi_search=38.4578, bi_subSolve=0.0406477, bi_maintain=0.193829, admm_maintain=0.0240328, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3592.52, overall time=170.428
i=4, infea=0.586647, nnz_a=5.56934, nnz_b=5.77908, uni_search=1.81143, uni_subSolve=0.0582969, uni_maintain=0.0773697, bi_search=47.2063, bi_subSolve=0.0578155, bi_maintain=0.242547, admm_maintain=0.0398414, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4365.2, overall time=220.074
i=5, infea=0.655633, nnz_a=6.32711, nnz_b=6.66857, uni_search=1.24374, uni_subSolve=0.0464843, uni_maintain=0.0494614, bi_search=45.1672, bi_subSolve=0.0597051, bi_maintain=0.254241, admm_maintain=0.0310157, area1=-nan, area23=-nan, area4=-nan, dual_obj=-5094.5, overall time=267.058
i=6, infea=0.717263, nnz_a=7.03869, nnz_b=7.53096, uni_search=1.11071, uni_subSolve=0.0444245, uni_maintain=0.0485446, bi_search=74.1605, bi_subSolve=0.0969883, bi_maintain=0.423722, admm_maintain=0.0815841, area1=-nan, area23=-nan, area4=-nan, dual_obj=-5773.74, overall time=343.206
i=7, infea=0.773897, nnz_a=7.71277, nnz_b=8.35877, uni_search=1.43185, uni_subSolve=0.0699747, uni_maintain=0.0788428, bi_search=82.5986, bi_subSolve=0.116252, bi_maintain=0.4951, admm_maintain=0.0906945, area1=-nan, area23=-nan, area4=-nan, dual_obj=-6408.93, overall time=428.303
i=8, infea=0.826968, nnz_a=8.33852, nnz_b=9.1462, uni_search=1.44173, uni_subSolve=0.07891, uni_maintain=0.0920076, bi_search=86.0987, bi_subSolve=0.128017, bi_maintain=0.549104, admm_maintain=0.0923495, area1=-nan, area23=-nan, area4=-nan, dual_obj=-6997.85, overall time=517.005
i=9, infea=0.876148, nnz_a=8.91268, nnz_b=9.87129, uni_search=1.42056, uni_subSolve=0.0829964, uni_maintain=0.0935311, bi_search=84.7808, bi_subSolve=0.143609, bi_maintain=0.576711, admm_maintain=0.104116, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7540.26, p_obj=14975.3, heldout Acc=0.35611, overall time=604.447
i=10, infea=0.920226, nnz_a=9.4563, nnz_b=10.5287, uni_search=1.19583, uni_subSolve=0.0632133, uni_maintain=0.0694507, bi_search=22.4527, bi_subSolve=0.0239622, bi_maintain=0.198154, admm_maintain=0.0410226, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8036.78, overall time=628.579
