using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=0, a_nnz=2.00528, ever_a_nnz=2.00528, b_nnz=1.85779, uni_search=2.45343, uni_subSolve=0.157881, uni_maintain_time=0.0508616, bi_search=47.2231, bi_subSolve=0.0712162, bi_maintain_time=0.0738055, admm_maintain=0.0210733, area4=-nan, infea=3095.41, d_obj=-4824.18, overall time=50.3966
i=1, a_nnz=2.45131, ever_a_nnz=2.45731, b_nnz=3.14615, uni_search=3.20916, uni_subSolve=0.196749, uni_maintain_time=0.0577014, bi_search=45.1008, bi_subSolve=0.0323741, bi_maintain_time=0.0386449, admm_maintain=0.014265, area4=-nan, infea=2481.97, d_obj=-8424.85, overall time=99.1078
i=2, a_nnz=2.79501, ever_a_nnz=2.80504, b_nnz=4.40485, uni_search=1.87515, uni_subSolve=0.0759151, uni_maintain_time=0.0385335, bi_search=44.7744, bi_subSolve=0.036827, bi_maintain_time=0.0418093, admm_maintain=0.0196276, area4=-nan, infea=2244.59, d_obj=-10630.1, overall time=146.036
i=3, a_nnz=3.06657, ever_a_nnz=3.08054, b_nnz=5.61781, uni_search=2.15772, uni_subSolve=0.0927503, uni_maintain_time=0.0447242, bi_search=45.1924, bi_subSolve=0.0615623, bi_maintain_time=0.0645605, admm_maintain=0.0255773, area4=-nan, infea=1978.4, d_obj=-12263.9, overall time=193.756
i=4, a_nnz=3.28846, ever_a_nnz=3.30617, b_nnz=6.7869, uni_search=2.43758, uni_subSolve=0.110593, uni_maintain_time=0.0465442, bi_search=45.328, bi_subSolve=0.0720013, bi_maintain_time=0.0718954, admm_maintain=0.048056, area4=-nan, infea=1763.31, d_obj=-13524, overall time=241.979
i=5, a_nnz=3.46993, ever_a_nnz=3.49158, b_nnz=7.8802, uni_search=2.74602, uni_subSolve=0.133937, uni_maintain_time=0.0451784, bi_search=46.3325, bi_subSolve=0.114804, bi_maintain_time=0.110099, admm_maintain=0.0555854, area4=-nan, infea=1563.99, d_obj=-14577.7, overall time=291.661
i=6, a_nnz=3.61949, ever_a_nnz=3.64449, b_nnz=8.9067, uni_search=4.10348, uni_subSolve=0.240842, uni_maintain_time=0.069728, bi_search=44.8012, bi_subSolve=0.0621534, bi_maintain_time=0.0497117, admm_maintain=0.0385906, area4=-nan, infea=1420.99, d_obj=-15413.9, overall time=341.125
i=7, a_nnz=3.74764, ever_a_nnz=3.77663, b_nnz=9.87862, uni_search=2.61898, uni_subSolve=0.119155, uni_maintain_time=0.0479929, bi_search=44.5964, bi_subSolve=0.0609427, bi_maintain_time=0.0453167, admm_maintain=0.0446465, area4=-nan, infea=1307.41, d_obj=-16104.3, overall time=388.763
i=8, a_nnz=3.8635, ever_a_nnz=3.89604, b_nnz=10.818, uni_search=2.69668, uni_subSolve=0.124741, uni_maintain_time=0.0486877, bi_search=44.6804, bi_subSolve=0.0695383, bi_maintain_time=0.0509347, admm_maintain=0.0494799, area4=-nan, infea=1224.81, d_obj=-16684.2, overall time=436.589
i=9, a_nnz=3.96583, ever_a_nnz=4.00072, b_nnz=11.7109, uni_search=3.86385, uni_subSolve=0.227173, uni_maintain_time=0.0719433, bi_search=44.9616, bi_subSolve=0.0954058, bi_maintain_time=0.0715848, admm_maintain=0.0449758, area4=-nan, infea=1137.87, d_obj=-17200.5, p_obj=52407.2.........., heldout Acc=0.989823, overall time=486.037
i=10, a_nnz=4.05798, ever_a_nnz=4.09566, b_nnz=12.5699, uni_search=4.92923, uni_subSolve=0.221501, uni_maintain_time=0.0526579, bi_search=46.4722, bi_subSolve=0.148792, bi_maintain_time=0.141227, admm_maintain=0.0682213, area4=-nan, infea=1081.29, d_obj=-17629.9, overall time=538.219
i=11, a_nnz=4.14034, ever_a_nnz=4.18109, b_nnz=13.3967, uni_search=3.15821, uni_subSolve=0.137563, uni_maintain_time=0.0477706, bi_search=45.9464, bi_subSolve=0.143738, bi_maintain_time=0.132296, admm_maintain=0.0939863, area4=-nan, infea=1020.16, d_obj=-18020.7, overall time=588.045
i=12, a_nnz=4.21329, ever_a_nnz=4.25721, b_nnz=14.1734, uni_search=4.19411, uni_subSolve=0.210943, uni_maintain_time=0.0550253, bi_search=45.8303, bi_subSolve=0.156979, bi_maintain_time=0.139477, admm_maintain=0.072075, area4=-nan, infea=968.143, d_obj=-18372.8, overall time=638.853
i=13, a_nnz=4.28135, ever_a_nnz=4.32815, b_nnz=14.9365, uni_search=5.74933, uni_subSolve=0.274314, uni_maintain_time=0.0541159, bi_search=47.1882, bi_subSolve=0.179282, bi_maintain_time=0.16218, admm_maintain=0.0950683, area4=-nan, infea=921.57, d_obj=-18685.2, overall time=692.768
i=14, a_nnz=4.3474, ever_a_nnz=4.39573, b_nnz=15.6941, uni_search=5.68717, uni_subSolve=0.271503, uni_maintain_time=0.0542932, bi_search=46.4883, bi_subSolve=0.184674, bi_maintain_time=0.168904, admm_maintain=0.0769779, area4=-nan, infea=895.517, d_obj=-18959.2, overall time=745.834
i=15, a_nnz=4.40917, ever_a_nnz=4.45932, b_nnz=16.4206, uni_search=5.34453, uni_subSolve=0.255066, uni_maintain_time=0.0571918, bi_search=46.1061, bi_subSolve=0.184836, bi_maintain_time=0.154785, admm_maintain=0.13448, area4=-nan, infea=860.255, d_obj=-19221.1, overall time=798.298
i=16, a_nnz=4.46595, ever_a_nnz=4.51759, b_nnz=17.1282, uni_search=5.55704, uni_subSolve=0.291039, uni_maintain_time=0.0593482, bi_search=46.1514, bi_subSolve=0.208633, bi_maintain_time=0.181311, admm_maintain=0.120735, area4=-nan, infea=824.256, d_obj=-19465.6, overall time=851.078
i=17, a_nnz=4.52249, ever_a_nnz=4.57509, b_nnz=17.8495, uni_search=5.18809, uni_subSolve=0.264484, uni_maintain_time=0.0608503, bi_search=46.2926, bi_subSolve=0.19261, bi_maintain_time=0.156025, admm_maintain=0.0823517, area4=-nan, infea=816.888, d_obj=-19667.9, overall time=903.48
i=18, a_nnz=4.57283, ever_a_nnz=4.62731, b_nnz=18.5405, uni_search=3.8258, uni_subSolve=0.181777, uni_maintain_time=0.0502603, bi_search=45.7826, bi_subSolve=0.144943, bi_maintain_time=0.105775, admm_maintain=0.133943, area4=-nan, infea=787.482, d_obj=-19878.6, overall time=953.891
i=19, a_nnz=4.61881, ever_a_nnz=4.67492, b_nnz=19.1979, uni_search=4.459, uni_subSolve=0.234201, uni_maintain_time=0.0568847, bi_search=45.6844, bi_subSolve=0.186474, bi_maintain_time=0.145461, admm_maintain=0.14057, area4=-nan, infea=765.459, d_obj=-20071.4, p_obj=30181.7.........., heldout Acc=0.992035, overall time=1005.05
i=20, a_nnz=4.66393, ever_a_nnz=4.72129, b_nnz=19.838, uni_search=3.16717, uni_subSolve=0.139923, uni_maintain_time=0.0425696, bi_search=44.3474, bi_subSolve=0.111195, bi_maintain_time=0.0706205, admm_maintain=0.0635893, area4=-nan, infea=744.461, d_obj=-20253.3, overall time=1053.19
i=21, a_nnz=4.7067, ever_a_nnz=4.76515, b_nnz=20.4767, uni_search=3.02879, uni_subSolve=0.131124, uni_maintain_time=0.0421728, bi_search=44.8797, bi_subSolve=0.139367, bi_maintain_time=0.101119, admm_maintain=0.0692692, area4=-nan, infea=727.212, d_obj=-20422.5, overall time=1101.7
i=22, a_nnz=4.74893, ever_a_nnz=4.80902, b_nnz=21.1276, uni_search=3.43493, uni_subSolve=0.159521, uni_maintain_time=0.0442778, bi_search=44.7427, bi_subSolve=0.136217, bi_maintain_time=0.0996028, admm_maintain=0.0718761, area4=-nan, infea=718.435, d_obj=-20575.9, overall time=1150.51
i=23, a_nnz=4.78632, ever_a_nnz=4.848, b_nnz=21.7364, uni_search=3.03408, uni_subSolve=0.132555, uni_maintain_time=0.0427996, bi_search=44.4212, bi_subSolve=0.113873, bi_maintain_time=0.0736453, admm_maintain=0.0648977, area4=-nan, infea=695.313, d_obj=-20736, overall time=1198.51
i=24, a_nnz=4.82462, ever_a_nnz=4.88774, b_nnz=22.3571, uni_search=3.17361, uni_subSolve=0.140304, uni_maintain_time=0.0415171, bi_search=45.4286, bi_subSolve=0.176874, bi_maintain_time=0.131436, admm_maintain=0.14109, area4=-nan, infea=689.707, d_obj=-20873.2, overall time=1247.94
i=25, a_nnz=4.85932, ever_a_nnz=4.92359, b_nnz=22.9415, uni_search=5.08106, uni_subSolve=0.258281, uni_maintain_time=0.0548278, bi_search=46.3218, bi_subSolve=0.230525, bi_maintain_time=0.181676, admm_maintain=0.140255, area4=-nan, infea=677.579, d_obj=-21009.5, overall time=1300.45
