using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=0, a_nnz=1.98301, ever_a_nnz=1.98301, b_nnz=1.67099, uni_search=2.31813, uni_subSolve=0.129514, uni_maintain_time=0.0505952, bi_search=47.2891, bi_subSolve=0.0529376, bi_maintain_time=0.0500232, admm_maintain=0.0403089, area4=-nan, infea=20584.3, d_obj=14644.3, overall time=50.4183
i=1, a_nnz=2.60336, ever_a_nnz=2.60398, b_nnz=2.89484, uni_search=3.23244, uni_subSolve=0.184496, uni_maintain_time=0.0537668, bi_search=48.8526, bi_subSolve=0.104801, bi_maintain_time=0.0862071, admm_maintain=0.0241795, area4=-nan, infea=13443.2, d_obj=10359.2, overall time=103.095
i=2, a_nnz=3.09335, ever_a_nnz=3.09628, b_nnz=4.33924, uni_search=3.15923, uni_subSolve=0.179459, uni_maintain_time=0.0616568, bi_search=48.4992, bi_subSolve=0.123928, bi_maintain_time=0.109828, admm_maintain=0.0285431, area4=-nan, infea=9195.56, d_obj=3888.15, overall time=155.382
i=3, a_nnz=3.43945, ever_a_nnz=3.4454, b_nnz=5.69786, uni_search=3.35734, uni_subSolve=0.185992, uni_maintain_time=0.0571523, bi_search=47.8915, bi_subSolve=0.127409, bi_maintain_time=0.104808, admm_maintain=0.0341696, area4=-nan, infea=6630.95, d_obj=-280.33, overall time=207.247
i=4, a_nnz=3.721, ever_a_nnz=3.7294, b_nnz=7.02549, uni_search=3.74089, uni_subSolve=0.211878, uni_maintain_time=0.0552863, bi_search=46.0718, bi_subSolve=0.0844197, bi_maintain_time=0.0659583, admm_maintain=0.0464399, area4=-nan, infea=5001.19, d_obj=-2924.22, overall time=257.649
i=5, a_nnz=3.96482, ever_a_nnz=3.97552, b_nnz=8.38891, uni_search=3.61623, uni_subSolve=0.202861, uni_maintain_time=0.0746276, bi_search=46.0047, bi_subSolve=0.108035, bi_maintain_time=0.0816744, admm_maintain=0.0485055, area4=-nan, infea=4047.69, d_obj=-4707.57, overall time=307.916
i=6, a_nnz=4.17874, ever_a_nnz=4.19131, b_nnz=9.74711, uni_search=3.2471, uni_subSolve=0.169203, uni_maintain_time=0.0564629, bi_search=45.9538, bi_subSolve=0.123041, bi_maintain_time=0.088408, admm_maintain=0.0607202, area4=-nan, infea=3378.76, d_obj=-6054.02, overall time=357.761
i=7, a_nnz=4.37365, ever_a_nnz=4.3881, b_nnz=11.1253, uni_search=3.97071, uni_subSolve=0.228878, uni_maintain_time=0.0678356, bi_search=45.9258, bi_subSolve=0.125875, bi_maintain_time=0.0872485, admm_maintain=0.0565422, area4=-nan, infea=2900.04, d_obj=-7115.12, overall time=408.344
i=8, a_nnz=4.55848, ever_a_nnz=4.57447, b_nnz=12.574, uni_search=3.20507, uni_subSolve=0.17197, uni_maintain_time=0.0722716, bi_search=47.933, bi_subSolve=0.210831, bi_maintain_time=0.14481, admm_maintain=0.106373, area4=-nan, infea=2648.55, d_obj=-7880.94, overall time=460.31
i=9, a_nnz=4.73026, ever_a_nnz=4.74749, b_nnz=14.0112, uni_search=3.85588, uni_subSolve=0.213467, uni_maintain_time=0.0607095, bi_search=48.7577, bi_subSolve=0.256348, bi_maintain_time=0.186572, admm_maintain=0.0558611, area4=-nan, infea=2335.4, d_obj=-8664.65, p_obj=92007.3.........., heldout Acc=0.976637, overall time=513.891
i=10, a_nnz=4.89129, ever_a_nnz=4.91044, b_nnz=15.5167, uni_search=3.86071, uni_subSolve=0.184397, uni_maintain_time=0.0557991, bi_search=45.9873, bi_subSolve=0.128845, bi_maintain_time=0.0959577, admm_maintain=0.090218, area4=-nan, infea=2170.11, d_obj=-9257.29, overall time=564.431
i=11, a_nnz=5.0396, ever_a_nnz=5.0599, b_nnz=16.9865, uni_search=3.2843, uni_subSolve=0.153564, uni_maintain_time=0.0552226, bi_search=46.7299, bi_subSolve=0.192212, bi_maintain_time=0.131995, admm_maintain=0.0661211, area4=-nan, infea=1992.57, d_obj=-9820.26, overall time=615.187
i=12, a_nnz=5.18133, ever_a_nnz=5.20278, b_nnz=18.5198, uni_search=3.30941, uni_subSolve=0.155809, uni_maintain_time=0.0555524, bi_search=47.8018, bi_subSolve=0.215586, bi_maintain_time=0.146905, admm_maintain=0.161276, area4=-nan, infea=1894.19, d_obj=-10278.1, overall time=667.184
i=13, a_nnz=5.31246, ever_a_nnz=5.33497, b_nnz=20.0331, uni_search=6.05035, uni_subSolve=0.311107, uni_maintain_time=0.065367, bi_search=48.4308, bi_subSolve=0.257266, bi_maintain_time=0.176337, admm_maintain=0.164734, area4=-nan, infea=1783.36, d_obj=-10718.8, overall time=722.798
i=14, a_nnz=5.4383, ever_a_nnz=5.46201, b_nnz=21.5909, uni_search=7.44685, uni_subSolve=0.388368, uni_maintain_time=0.073042, bi_search=48.3815, bi_subSolve=0.273932, bi_maintain_time=0.178821, admm_maintain=0.101518, area4=-nan, infea=1744.54, d_obj=-11067, overall time=779.81
i=15, a_nnz=5.558, ever_a_nnz=5.58325, b_nnz=23.1537, uni_search=6.33334, uni_subSolve=0.333291, uni_maintain_time=0.0760311, bi_search=48.5815, bi_subSolve=0.296626, bi_maintain_time=0.200374, admm_maintain=0.16016, area4=-nan, infea=1693.64, d_obj=-11408.8, overall time=836.133
i=16, a_nnz=5.67415, ever_a_nnz=5.70074, b_nnz=24.756, uni_search=4.1953, uni_subSolve=0.217762, uni_maintain_time=0.0628681, bi_search=47.8993, bi_subSolve=0.280368, bi_maintain_time=0.176625, admm_maintain=0.181422, area4=-nan, infea=1679.45, d_obj=-11694.3, overall time=889.458
i=17, a_nnz=5.78402, ever_a_nnz=5.81171, b_nnz=26.3438, uni_search=7.12737, uni_subSolve=0.386433, uni_maintain_time=0.0731162, bi_search=49.7272, bi_subSolve=0.384292, bi_maintain_time=0.256015, admm_maintain=0.174659, area4=-nan, infea=1593.66, d_obj=-12037.3, overall time=947.957
i=18, a_nnz=5.89114, ever_a_nnz=5.91965, b_nnz=27.9451, uni_search=7.68856, uni_subSolve=0.422099, uni_maintain_time=0.0747883, bi_search=47.6384, bi_subSolve=0.379746, bi_maintain_time=0.238127, admm_maintain=0.213245, area4=-nan, infea=1594.92, d_obj=-12283.7, overall time=1004.94
i=19, a_nnz=5.99184, ever_a_nnz=6.02145, b_nnz=29.5436, uni_search=7.35728, uni_subSolve=0.445026, uni_maintain_time=0.0750777, bi_search=47.0565, bi_subSolve=0.393311, bi_maintain_time=0.24418, admm_maintain=0.218889, area4=-nan, infea=1542.26, d_obj=-12569.7, p_obj=58447.2.........., heldout Acc=0.99, overall time=1061.06
i=20, a_nnz=6.0909, ever_a_nnz=6.12114, b_nnz=31.1859, uni_search=7.86613, uni_subSolve=0.446358, uni_maintain_time=0.0768088, bi_search=48.4361, bi_subSolve=0.374212, bi_maintain_time=0.212014, admm_maintain=0.161805, area4=-nan, infea=1548.62, d_obj=-12789.4, overall time=1118.9
i=21, a_nnz=6.18402, ever_a_nnz=6.2155, b_nnz=32.7669, uni_search=6.43727, uni_subSolve=0.371427, uni_maintain_time=0.0787095, bi_search=48.4303, bi_subSolve=0.390247, bi_maintain_time=0.222787, admm_maintain=0.146428, area4=-nan, infea=1487.24, d_obj=-13065.9, overall time=1175.22
i=22, a_nnz=6.27622, ever_a_nnz=6.30823, b_nnz=34.382, uni_search=5.15667, uni_subSolve=0.30042, uni_maintain_time=0.0816733, bi_search=48.0858, bi_subSolve=0.389216, bi_maintain_time=0.219807, admm_maintain=0.175563, area4=-nan, infea=1469.34, d_obj=-13291.7, overall time=1229.89
i=23, a_nnz=6.36597, ever_a_nnz=6.39952, b_nnz=36.0346, uni_search=6.49286, uni_subSolve=0.382795, uni_maintain_time=0.0795024, bi_search=48.1719, bi_subSolve=0.405303, bi_maintain_time=0.22181, admm_maintain=0.184584, area4=-nan, infea=1478.32, d_obj=-13481.8, overall time=1286.04
i=24, a_nnz=6.4516, ever_a_nnz=6.4863, b_nnz=37.6612, uni_search=6.10256, uni_subSolve=0.368853, uni_maintain_time=0.0784089, bi_search=47.7931, bi_subSolve=0.391634, bi_maintain_time=0.208885, admm_maintain=0.182421, area4=-nan, infea=1456.29, d_obj=-13695.2, overall time=1341.48
i=25, a_nnz=6.5342, ever_a_nnz=6.56991, b_nnz=39.2907, uni_search=6.87879, uni_subSolve=0.412237, uni_maintain_time=0.0779572, bi_search=47.1957, bi_subSolve=0.379687, bi_maintain_time=0.19728, admm_maintain=0.130736, area4=-nan, infea=1413.13, d_obj=-13920.5, overall time=1396.93
i=26, a_nnz=6.61392, ever_a_nnz=6.65083, b_nnz=40.9113, uni_search=4.44739, uni_subSolve=0.229332, uni_maintain_time=0.0534079, bi_search=46.7429, bi_subSolve=0.229231, bi_maintain_time=0.121907, admm_maintain=0.167689, area4=-nan, infea=1402.48, d_obj=-14109, overall time=1449.14
i=27, a_nnz=6.69249, ever_a_nnz=6.73007, b_nnz=42.5545, uni_search=5.76287, uni_subSolve=0.30096, uni_maintain_time=0.0626923, bi_search=46.054, bi_subSolve=0.274735, bi_maintain_time=0.142198, admm_maintain=0.157088, area4=-nan, infea=1364.07, d_obj=-14319.6, overall time=1502.11
i=28, a_nnz=6.76683, ever_a_nnz=6.80557, b_nnz=44.178, uni_search=4.82392, uni_subSolve=0.287843, uni_maintain_time=0.0615007, bi_search=46, bi_subSolve=0.319236, bi_maintain_time=0.154081, admm_maintain=0.156358, area4=-nan, infea=1340.33, d_obj=-14512.1, overall time=1554.16
i=29, a_nnz=6.83686, ever_a_nnz=6.87694, b_nnz=45.7544, uni_search=4.02119, uni_subSolve=0.224325, uni_maintain_time=0.0555571, bi_search=46.3877, bi_subSolve=0.30259, bi_maintain_time=0.140758, admm_maintain=0.105633, area4=-nan, infea=1364.89, d_obj=-14648.9, p_obj=70915.8.........., heldout Acc=0.991504, overall time=1605.54
i=30, a_nnz=6.90674, ever_a_nnz=6.94816, b_nnz=47.3762, uni_search=4.1793, uni_subSolve=0.257319, uni_maintain_time=0.0705103, bi_search=45.3337, bi_subSolve=0.19069, bi_maintain_time=0.0837897, admm_maintain=0.163331, area4=-nan, infea=1324.3, d_obj=-14841.6, overall time=1656.04
i=31, a_nnz=6.976, ever_a_nnz=7.01805, b_nnz=49.0122, uni_search=4.20428, uni_subSolve=0.26175, uni_maintain_time=0.0745559, bi_search=46.7789, bi_subSolve=0.377727, bi_maintain_time=0.172082, admm_maintain=0.217012, area4=-nan, infea=1334.58, d_obj=-14982.5, overall time=1708.44
i=32, a_nnz=7.04296, ever_a_nnz=7.08577, b_nnz=50.6491, uni_search=5.59524, uni_subSolve=0.361504, uni_maintain_time=0.0781693, bi_search=47.0827, bi_subSolve=0.429346, bi_maintain_time=0.197254, admm_maintain=0.29253, area4=-nan, infea=1275.6, d_obj=-15186.8, overall time=1762.86
i=33, a_nnz=7.10794, ever_a_nnz=7.15162, b_nnz=52.2476, uni_search=7.51106, uni_subSolve=0.481436, uni_maintain_time=0.0783559, bi_search=48.0012, bi_subSolve=0.517795, bi_maintain_time=0.258938, admm_maintain=0.274691, area4=-nan, infea=1274.23, d_obj=-15328.5, overall time=1820.37
i=34, a_nnz=7.17058, ever_a_nnz=7.2156, b_nnz=53.8512, uni_search=6.00162, uni_subSolve=0.400937, uni_maintain_time=0.0768256, bi_search=46.3596, bi_subSolve=0.364931, bi_maintain_time=0.169335, admm_maintain=0.160649, area4=-nan, infea=1250.72, d_obj=-15489.9, overall time=1874.13
i=35, a_nnz=7.23278, ever_a_nnz=7.27867, b_nnz=55.4535, uni_search=4.51154, uni_subSolve=0.264563, uni_maintain_time=0.0584739, bi_search=45.9824, bi_subSolve=0.345231, bi_maintain_time=0.16641, admm_maintain=0.211711, area4=-nan, infea=1248.7, d_obj=-15625.1, overall time=1925.95
