using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=0, a_nnz=1.98603, ever_a_nnz=1.98603, b_nnz=2.33031, uni_search=0.591852, uni_subSolve=0.219686, uni_maintain_time=0.0472943, bi_search=0.0362608, bi_subSolve=0.023715, bi_maintain_time=0.014207, admm_maintain=0.032143, area4=1.00442, infea=928.385, d_obj=-3232.14, overall time=1.35957
i=1, a_nnz=2.49839, ever_a_nnz=2.52138, b_nnz=4.03749, uni_search=0.894325, uni_subSolve=0.277843, uni_maintain_time=0.05242, bi_search=0.0588611, bi_subSolve=0.0373379, bi_maintain_time=0.0262868, admm_maintain=0.0504054, area4=1.01066, infea=1134.62, d_obj=-3880.96, overall time=2.88173
i=2, a_nnz=2.93693, ever_a_nnz=2.99448, b_nnz=5.75776, uni_search=1.02628, uni_subSolve=0.330512, uni_maintain_time=0.0552516, bi_search=0.0757671, bi_subSolve=0.0553628, bi_maintain_time=0.032287, admm_maintain=0.107309, area4=1.01699, infea=1206.33, d_obj=-1728.61, overall time=4.84057
i=3, a_nnz=3.31409, ever_a_nnz=3.41579, b_nnz=7.47492, uni_search=1.44736, uni_subSolve=0.506526, uni_maintain_time=0.0648369, bi_search=0.0841007, bi_subSolve=0.0666123, bi_maintain_time=0.0365842, admm_maintain=0.0864027, area4=1.02064, infea=1118.79, d_obj=314.26, overall time=7.3074
i=4, a_nnz=3.65841, ever_a_nnz=3.80427, b_nnz=9.22649, uni_search=1.62509, uni_subSolve=0.558122, uni_maintain_time=0.0696212, bi_search=0.101483, bi_subSolve=0.0845193, bi_maintain_time=0.0429756, admm_maintain=0.101051, area4=1.02649, infea=1060.22, d_obj=1832.67, overall time=10.0907
i=5, a_nnz=3.97451, ever_a_nnz=4.16856, b_nnz=11.002, uni_search=1.73127, uni_subSolve=0.591412, uni_maintain_time=0.0716176, bi_search=0.103787, bi_subSolve=0.0925736, bi_maintain_time=0.0469156, admm_maintain=0.161548, area4=1.02899, infea=1059.59, d_obj=2899.94, overall time=13.2327
i=6, a_nnz=4.26878, ever_a_nnz=4.51572, b_nnz=12.7914, uni_search=1.77537, uni_subSolve=0.597289, uni_maintain_time=0.0737806, bi_search=0.197981, bi_subSolve=0.18483, bi_maintain_time=0.0814059, admm_maintain=0.222527, area4=1.02918, infea=1103.18, d_obj=3743.39, overall time=16.6182
i=7, a_nnz=4.54327, ever_a_nnz=4.84761, b_nnz=14.6237, uni_search=1.92753, uni_subSolve=0.647549, uni_maintain_time=0.0784549, bi_search=0.133302, bi_subSolve=0.125782, bi_maintain_time=0.0585093, admm_maintain=0.18744, area4=1.02861, infea=1138.77, d_obj=4624.63, overall time=20.1794
i=8, a_nnz=4.79789, ever_a_nnz=5.17331, b_nnz=16.5485, uni_search=2.07081, uni_subSolve=0.705375, uni_maintain_time=0.0813263, bi_search=0.209018, bi_subSolve=0.209494, bi_maintain_time=0.086012, admm_maintain=0.165635, area4=1.02995, infea=1159.83, d_obj=5720.37, overall time=23.9523
i=9, a_nnz=5.02731, ever_a_nnz=5.48275, b_nnz=18.524, uni_search=2.24302, uni_subSolve=0.761998, uni_maintain_time=0.0847388, bi_search=0.24884, bi_subSolve=0.255312, bi_maintain_time=0.098938, admm_maintain=0.196841, area4=1.02649, infea=1142.68, d_obj=6868.54, overall time=28.094
i=10, a_nnz=5.24382, ever_a_nnz=5.78311, b_nnz=20.5979, uni_search=2.33418, uni_subSolve=0.791154, uni_maintain_time=0.0882827, bi_search=0.263019, bi_subSolve=0.272762, bi_maintain_time=0.104199, admm_maintain=0.199315, area4=1.03389, infea=1123.74, d_obj=8135.99, overall time=32.4147
i=11, a_nnz=5.44876, ever_a_nnz=6.07819, b_nnz=22.7693, uni_search=2.46505, uni_subSolve=0.839097, uni_maintain_time=0.0913173, bi_search=0.237811, bi_subSolve=0.247707, bi_maintain_time=0.0951298, admm_maintain=0.225846, area4=1.03686, infea=1101.67, d_obj=9271.18, overall time=37.0759
