using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=3, admm_step_size=1, C=1, eta=10
i=0, infea=0.0122062, nnz_a=1.99385, nnz_b=2, uni_search=30.386, uni_subSolve=0.410362, uni_maintain=0.108442, bi_search=6.98142, bi_subSolve=0.405627, bi_maintain=1.54747, admm_maintain=0.438706, area1=0.993627, area23=1.00122, area4=1.00004, dual_obj=-1521.98, overall time=59.5451
i=1, infea=0.0173438, nnz_a=2.96511, nnz_b=2.99999, uni_search=27.13, uni_subSolve=0.442877, uni_maintain=0.172641, bi_search=5.66934, bi_subSolve=0.207905, bi_maintain=0.937365, admm_maintain=0.330922, area1=3.94733, area23=1.01966, area4=1.00002, dual_obj=-2636.12, overall time=99.4134
i=2, infea=0.0205082, nnz_a=3.91014, nnz_b=3.9998, uni_search=27.0093, uni_subSolve=0.566588, uni_maintain=0.268991, bi_search=6.58645, bi_subSolve=0.311757, bi_maintain=1.35626, admm_maintain=0.644703, area1=8.44552, area23=1.0186, area4=1.00001, dual_obj=-3490.39, overall time=141.096
i=3, infea=0.0218536, nnz_a=4.78922, nnz_b=4.99838, uni_search=25.9763, uni_subSolve=0.635414, uni_maintain=0.334842, bi_search=6.22843, bi_subSolve=0.303772, bi_maintain=1.37586, admm_maintain=0.595115, area1=13.9754, area23=1.0215, area4=1, dual_obj=-4153.66, overall time=181.574
i=4, infea=0.02282, nnz_a=5.55862, nnz_b=5.99116, uni_search=25.7204, uni_subSolve=0.714275, uni_maintain=0.457869, bi_search=6.33221, bi_subSolve=0.347876, bi_maintain=1.58034, admm_maintain=0.662838, area1=20.9939, area23=1.02192, area4=1.00005, dual_obj=-4708.94, overall time=222.389
i=5, infea=0.0240131, nnz_a=6.19111, nnz_b=6.96717, uni_search=25.7307, uni_subSolve=0.79643, uni_maintain=0.565622, bi_search=6.74742, bi_subSolve=0.396752, bi_maintain=1.7994, admm_maintain=0.716677, area1=29.2351, area23=1.02315, area4=1, dual_obj=-5238.36, overall time=264.175
i=6, infea=0.0252316, nnz_a=6.7097, nnz_b=7.91935, uni_search=25.4474, uni_subSolve=0.838185, uni_maintain=0.629775, bi_search=7.16515, bi_subSolve=0.444927, bi_maintain=2.01261, admm_maintain=0.763997, area1=38.6807, area23=1.02597, area4=1.00004, dual_obj=-5783.18, overall time=306.489
i=7, infea=0.026375, nnz_a=7.15007, nnz_b=8.84167, uni_search=25.7995, uni_subSolve=0.911584, uni_maintain=0.700095, bi_search=7.52429, bi_subSolve=0.473547, bi_maintain=2.13484, admm_maintain=0.844931, area1=49.4269, area23=1.03057, area4=1.00005, dual_obj=-6351.89, overall time=349.933
i=8, infea=0.0274906, nnz_a=7.53509, nnz_b=9.72876, uni_search=25.8707, uni_subSolve=0.971233, uni_maintain=0.746364, bi_search=7.9194, bi_subSolve=0.516125, bi_maintain=2.36361, admm_maintain=0.874815, area1=61.4641, area23=1.03639, area4=1.00006, dual_obj=-6929.24, overall time=394.248
i=9, infea=0.0285712, nnz_a=7.88197, nnz_b=10.5753, uni_search=25.6399, uni_subSolve=0.996204, uni_maintain=0.761139, bi_search=8.27742, bi_subSolve=0.565735, bi_maintain=2.5251, admm_maintain=0.963912, area1=74.6457, area23=1.04293, area4=1.00011, dual_obj=-7502.34, p_obj=199366, heldout Acc=0.373576, overall time=439.076
i=10, infea=0.0295472, nnz_a=8.19481, nnz_b=11.3814, uni_search=25.6579, uni_subSolve=1.04385, uni_maintain=0.810367, bi_search=8.44099, bi_subSolve=0.569593, bi_maintain=2.61238, admm_maintain=0.961296, area1=88.8759, area23=1.05057, area4=1.0002, dual_obj=-8060.14, overall time=484.239
i=11, infea=0.030437, nnz_a=8.47583, nnz_b=12.1444, uni_search=25.5971, uni_subSolve=1.0612, uni_maintain=0.827306, bi_search=8.74815, bi_subSolve=0.596485, bi_maintain=2.73348, admm_maintain=0.981014, area1=104.11, area23=1.05735, area4=1.00044, dual_obj=-8597.82, overall time=529.863
i=12, infea=0.0312732, nnz_a=8.73166, nnz_b=12.8704, uni_search=25.68, uni_subSolve=1.09477, uni_maintain=0.866549, bi_search=9.54463, bi_subSolve=0.648809, bi_maintain=2.98858, admm_maintain=1.02642, area1=120.33, area23=1.06462, area4=1.00056, dual_obj=-9119.42, overall time=576.865
i=13, infea=0.0320665, nnz_a=8.97162, nnz_b=13.562, uni_search=25.6477, uni_subSolve=1.09948, uni_maintain=0.881161, bi_search=9.92208, bi_subSolve=0.681384, bi_maintain=3.11277, admm_maintain=1.04654, area1=137.593, area23=1.07193, area4=1.00121, dual_obj=-9627.42, overall time=624.41
i=14, infea=0.0328025, nnz_a=9.19987, nnz_b=14.2226, uni_search=25.4609, uni_subSolve=1.10617, uni_maintain=0.883259, bi_search=10.311, bi_subSolve=0.707298, bi_maintain=3.2459, admm_maintain=1.04528, area1=155.892, area23=1.07872, area4=1.00216, dual_obj=-10124.5, overall time=672.231
i=15, infea=0.0335228, nnz_a=9.41444, nnz_b=14.8539, uni_search=25.466, uni_subSolve=1.11362, uni_maintain=0.91109, bi_search=10.704, bi_subSolve=0.730133, bi_maintain=3.33315, admm_maintain=1.06264, area1=175.275, area23=1.08621, area4=1.00344, dual_obj=-10612.8, overall time=720.6
i=16, infea=0.0341984, nnz_a=9.61935, nnz_b=15.4572, uni_search=25.4444, uni_subSolve=1.12953, uni_maintain=0.923857, bi_search=11.5201, bi_subSolve=0.775024, bi_maintain=3.54366, admm_maintain=1.37735, area1=195.747, area23=1.09344, area4=1.00478, dual_obj=-11094, overall time=770.424
i=17, infea=0.0348323, nnz_a=9.81535, nnz_b=16.0362, uni_search=27.1653, uni_subSolve=1.28009, uni_maintain=0.928438, bi_search=11.9168, bi_subSolve=0.701887, bi_maintain=3.10479, admm_maintain=1.02911, area1=217.266, area23=1.10112, area4=1.00645, dual_obj=-11567.4, overall time=821.242
i=18, infea=0.0354295, nnz_a=10.0057, nnz_b=16.5883, uni_search=24.7608, uni_subSolve=1.12698, uni_maintain=0.869736, bi_search=16.4712, bi_subSolve=1.03293, bi_maintain=4.43087, admm_maintain=1.42922, area1=239.821, area23=1.10859, area4=1.00772, dual_obj=-12031.7, overall time=876.436
i=19, infea=0.0359892, nnz_a=10.187, nnz_b=17.1175, uni_search=27.5456, uni_subSolve=1.35085, uni_maintain=0.97544, bi_search=18.3229, bi_subSolve=1.10674, bi_maintain=4.79331, admm_maintain=1.46514, area1=263.353, area23=1.11629, area4=1.00929, dual_obj=-12487.9, p_obj=190480, heldout Acc=0.439636, overall time=937.339
i=20, infea=0.0365212, nnz_a=10.3626, nnz_b=17.6217, uni_search=27.0322, uni_subSolve=1.35329, uni_maintain=1.00068, bi_search=14.1256, bi_subSolve=0.87641, bi_maintain=3.6785, admm_maintain=1.26497, area1=287.824, area23=1.12411, area4=1.01185, dual_obj=-12937.8, overall time=991.688
i=21, infea=0.037011, nnz_a=10.5327, nnz_b=18.1046, uni_search=25.6519, uni_subSolve=1.23645, uni_maintain=1.00584, bi_search=13.9662, bi_subSolve=0.865811, bi_maintain=3.59294, admm_maintain=1.28574, area1=313.394, area23=1.13182, area4=1.01437, dual_obj=-13381.2, overall time=1044.2
