using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=1, admm_step_size=0, C=1, eta=10
i=0, infea=0.00355967, nnz_a=1.99977, nnz_b=2, uni_search=26.9142, uni_subSolve=0.15155, uni_maintain=0.088044, bi_search=3775.22, bi_subSolve=2.73611, bi_maintain=0.952695, admm_maintain=0.198912, area1=-nan, area23=-nan, area4=-nan, dual_obj=-1224.17, p_obj=201433, heldout Acc=0.171412, overall time=3815.89
i=1, infea=0.00783522, nnz_a=2.94929, nnz_b=2.99855, uni_search=29.9996, uni_subSolve=0.240229, uni_maintain=0.130229, bi_search=3712.74, bi_subSolve=2.59432, bi_maintain=0.944409, admm_maintain=0.22499, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2385.99, p_obj=197652, heldout Acc=0.196469, overall time=7567.26
i=2, infea=0.0121324, nnz_a=3.84262, nnz_b=3.99446, uni_search=35.9528, uni_subSolve=0.357039, uni_maintain=0.207868, bi_search=3681.21, bi_subSolve=2.76321, bi_maintain=1.09822, admm_maintain=0.2823, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3511.23, p_obj=200751, heldout Acc=0.222665, overall time=11293.9
i=3, infea=0.0164173, nnz_a=4.68349, nnz_b=4.98649, uni_search=27.0236, uni_subSolve=0.266492, uni_maintain=0.208182, bi_search=3677.24, bi_subSolve=2.65174, bi_maintain=1.14544, admm_maintain=0.328677, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4612.02, p_obj=203989, heldout Acc=0.211276 (1/100), overall time=15007.3
i=4, infea=0.0207022, nnz_a=5.4783, nnz_b=5.97367, uni_search=27.9541, uni_subSolve=0.30148, uni_maintain=0.259607, bi_search=3939.25, bi_subSolve=2.88151, bi_maintain=1.10743, admm_maintain=0.27971, area1=-nan, area23=-nan, area4=-nan, dual_obj=-5695.07, p_obj=193889, heldout Acc=0.253417, overall time=18983.8
i=5, infea=0.0249778, nnz_a=6.23106, nnz_b=6.95562, uni_search=27.8991, uni_subSolve=0.297632, uni_maintain=0.270835, bi_search=3452.98, bi_subSolve=2.24396, bi_maintain=1.00595, admm_maintain=0.280184, area1=-nan, area23=-nan, area4=-nan, dual_obj=-6764.44, p_obj=204489, heldout Acc=0.246583 (1/100), overall time=22472.7
i=6, infea=0.0291963, nnz_a=6.94692, nnz_b=7.93163, uni_search=26.7555, uni_subSolve=0.308671, uni_maintain=0.300133, bi_search=4263.23, bi_subSolve=3.28795, bi_maintain=1.44104, admm_maintain=0.520283, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7823.75, p_obj=195538, heldout Acc=0.269362, overall time=26773.3
i=7, infea=0.0333467, nnz_a=7.6291, nnz_b=8.90082, uni_search=32.7123, uni_subSolve=0.444013, uni_maintain=0.447093, bi_search=3895.13, bi_subSolve=2.89618, bi_maintain=1.41672, admm_maintain=0.403485, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8871.68, p_obj=193225, heldout Acc=0.288155, overall time=30711.5
i=8, infea=0.0374459, nnz_a=8.28039, nnz_b=9.86382, uni_search=27.6741, uni_subSolve=0.377108, uni_maintain=0.382116, bi_search=4649.3, bi_subSolve=3.84526, bi_maintain=1.88199, admm_maintain=0.550959, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9911.15, p_obj=197857, heldout Acc=0.283599 (1/100), overall time=35400.9
i=9, infea=0.0415612, nnz_a=8.90435, nnz_b=10.8201, uni_search=34.0759, uni_subSolve=0.506537, uni_maintain=0.536302, bi_search=4632.02, bi_subSolve=3.75744, bi_maintain=1.90078, admm_maintain=0.388683, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10942.5, p_obj=186761, heldout Acc=0.294989, overall time=40079.3
i=10, infea=0.0456768, nnz_a=9.50295, nnz_b=11.7698, uni_search=31.9305, uni_subSolve=0.505307, uni_maintain=0.523855, bi_search=4319.98, bi_subSolve=3.59051, bi_maintain=1.96249, admm_maintain=0.512843, area1=-nan, area23=-nan, area4=-nan, dual_obj=-11966.7, p_obj=207894, heldout Acc=0.280752 (1/100), overall time=44443.3
i=11, infea=0.0497814, nnz_a=10.0795, nnz_b=12.712, uni_search=28.8722, uni_subSolve=0.466479, uni_maintain=0.494728, bi_search=4365.95, bi_subSolve=3.72015, bi_maintain=2.07566, admm_maintain=0.542331, area1=-nan, area23=-nan, area4=-nan, dual_obj=-12982.9, p_obj=190221, heldout Acc=0.291002 (2/100), overall time=48850.5
i=12, infea=0.0538224, nnz_a=10.6354, nnz_b=13.6481, uni_search=32.7557, uni_subSolve=0.575192, uni_maintain=0.614697, bi_search=4161.59, bi_subSolve=3.4908, bi_maintain=2.08645, admm_maintain=0.56437, area1=-nan, area23=-nan, area4=-nan, dual_obj=-13991.7, p_obj=201655, heldout Acc=0.291572 (3/100), overall time=53057.4
i=13, infea=0.0578041, nnz_a=11.172, nnz_b=14.5766, uni_search=31.2093, uni_subSolve=0.551478, uni_maintain=0.600486, bi_search=4208.62, bi_subSolve=3.5451, bi_maintain=2.23008, admm_maintain=0.810917, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14993.7, p_obj=203469, heldout Acc=0.289863 (4/100), overall time=57310
i=14, infea=0.0617243, nnz_a=11.6925, nnz_b=15.4993, uni_search=33.2235, uni_subSolve=0.60911, uni_maintain=0.688382, bi_search=4191.74, bi_subSolve=3.50417, bi_maintain=2.33156, admm_maintain=0.465145, area1=-nan, area23=-nan, area4=-nan, dual_obj=-15988.8, p_obj=196803, heldout Acc=0.302392, overall time=61547.4
