using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=1, admm_step_size=0, C=1, eta=1
i=0, infea=0.0203556, nnz_a=1.99669, nnz_b=2, uni_search=26.9692, uni_subSolve=0.159668, uni_maintain=0.0895729, bi_search=3689.33, bi_subSolve=2.65809, bi_maintain=1.15554, admm_maintain=0.211685, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2671.33, p_obj=226893, heldout Acc=0.153759, overall time=3730.13
i=1, infea=0.0396926, nnz_a=2.94128, nnz_b=2.999, uni_search=27.0589, uni_subSolve=0.199744, uni_maintain=0.123636, bi_search=3780.17, bi_subSolve=2.68822, bi_maintain=1.26323, admm_maintain=0.275735, area1=-nan, area23=-nan, area4=-nan, dual_obj=-5226.14, p_obj=205908, heldout Acc=0.147494 (1/100), overall time=7546.31
i=2, infea=0.057316, nnz_a=3.83232, nnz_b=3.99675, uni_search=31.5816, uni_subSolve=0.292699, uni_maintain=0.181389, bi_search=3751.79, bi_subSolve=2.88489, bi_maintain=1.45952, admm_maintain=0.253377, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7713.26, p_obj=237304, heldout Acc=0.165148, overall time=11339.3
i=3, infea=0.0737719, nnz_a=4.67436, nnz_b=4.99333, uni_search=36.1923, uni_subSolve=0.43015, uni_maintain=0.274414, bi_search=3753.77, bi_subSolve=2.77473, bi_maintain=1.39894, admm_maintain=0.304021, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10154.1, p_obj=225302, heldout Acc=0.201595, overall time=15139.3
i=4, infea=0.0893852, nnz_a=5.47013, nnz_b=5.98778, uni_search=29.7059, uni_subSolve=0.303275, uni_maintain=0.241645, bi_search=3626.21, bi_subSolve=2.58558, bi_maintain=1.36793, admm_maintain=0.315559, area1=-nan, area23=-nan, area4=-nan, dual_obj=-12555, p_obj=225782, heldout Acc=0.212984, overall time=18804.3
i=5, infea=0.104304, nnz_a=6.22584, nnz_b=6.98056, uni_search=27.504, uni_subSolve=0.304049, uni_maintain=0.267452, bi_search=3713.3, bi_subSolve=2.72108, bi_maintain=1.52486, admm_maintain=0.387733, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14919.1, p_obj=218174, heldout Acc=0.203872 (1/100), overall time=22554.8
i=6, infea=0.118667, nnz_a=6.94335, nnz_b=7.97047, uni_search=29.5925, uni_subSolve=0.359618, uni_maintain=0.342723, bi_search=4613.7, bi_subSolve=3.69649, bi_maintain=2.00788, admm_maintain=0.413077, area1=-nan, area23=-nan, area4=-nan, dual_obj=-17257.5, p_obj=204997, heldout Acc=0.208998 (2/100), overall time=27210.2
i=7, infea=0.132487, nnz_a=7.62961, nnz_b=8.95756, uni_search=35.9206, uni_subSolve=0.483005, uni_maintain=0.48137, bi_search=4836.09, bi_subSolve=4.10989, bi_maintain=2.37693, admm_maintain=0.479768, area1=-nan, area23=-nan, area4=-nan, dual_obj=-19555.7, p_obj=234801, heldout Acc=0.231777, overall time=32095.6
i=8, infea=0.145845, nnz_a=8.28171, nnz_b=9.94125, uni_search=40.7674, uni_subSolve=0.616384, uni_maintain=0.6352, bi_search=4814.91, bi_subSolve=4.23175, bi_maintain=2.45819, admm_maintain=0.494749, area1=-nan, area23=-nan, area4=-nan, dual_obj=-21825.8, p_obj=221552, heldout Acc=0.216401 (1/100), overall time=36965.3
i=9, infea=0.158744, nnz_a=8.90584, nnz_b=10.9219, uni_search=28.8073, uni_subSolve=0.419608, uni_maintain=0.429462, bi_search=4342.29, bi_subSolve=3.63779, bi_maintain=2.1749, admm_maintain=0.431739, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24065, p_obj=222472, heldout Acc=0.234624, overall time=41348.4
i=10, infea=0.171162, nnz_a=9.50585, nnz_b=11.8977, uni_search=27.2783, uni_subSolve=0.424004, uni_maintain=0.437205, bi_search=3680.19, bi_subSolve=2.85971, bi_maintain=1.96607, admm_maintain=0.493052, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26265.8, p_obj=246952, heldout Acc=0.223804 (1/100), overall time=45066.4
i=11, infea=0.183252, nnz_a=10.0821, nnz_b=12.8708, uni_search=29.9072, uni_subSolve=0.480119, uni_maintain=0.518847, bi_search=4087.99, bi_subSolve=3.3097, bi_maintain=2.29256, admm_maintain=0.767852, area1=-nan, area23=-nan, area4=-nan, dual_obj=-28441.4, p_obj=221493, heldout Acc=0.23861, overall time=49196.6
i=12, infea=0.19494, nnz_a=10.6341, nnz_b=13.8389, uni_search=30.9258, uni_subSolve=0.539025, uni_maintain=0.567321, bi_search=5008.18, bi_subSolve=4.32832, bi_maintain=2.93469, admm_maintain=0.851082, area1=-nan, area23=-nan, area4=-nan, dual_obj=-30581.6, p_obj=209835, heldout Acc=0.265945, overall time=54250.7
i=13, infea=0.20623, nnz_a=11.1654, nnz_b=14.8024, uni_search=36.1283, uni_subSolve=0.679806, uni_maintain=0.730073, bi_search=4820.72, bi_subSolve=4.22011, bi_maintain=2.99664, admm_maintain=0.846517, area1=-nan, area23=-nan, area4=-nan, dual_obj=-32690.7, p_obj=235974, heldout Acc=0.244305 (1/100), overall time=59122.7
i=14, infea=0.217132, nnz_a=11.6785, nnz_b=15.7616, uni_search=33.0044, uni_subSolve=0.631323, uni_maintain=0.682393, bi_search=5184.18, bi_subSolve=4.67428, bi_maintain=3.3135, admm_maintain=0.926683, area1=-nan, area23=-nan, area4=-nan, dual_obj=-34769.3, p_obj=199437, heldout Acc=0.222096 (2/100), overall time=64356.3
i=15, infea=0.227697, nnz_a=12.1745, nnz_b=16.7159, uni_search=37.9803, uni_subSolve=0.778313, uni_maintain=0.845264, bi_search=6340.76, bi_subSolve=5.40967, bi_maintain=3.92568, admm_maintain=0.640206, area1=-nan, area23=-nan, area4=-nan, dual_obj=-36816.4, p_obj=223268, heldout Acc=0.255125 (3/100), overall time=70753.3
i=16, infea=0.237954, nnz_a=12.6523, nnz_b=17.6646, uni_search=89.1719, uni_subSolve=0.992452, uni_maintain=1.38831, bi_search=5895.41, bi_subSolve=6.64811, bi_maintain=4.37531, admm_maintain=0.877546, area1=-nan, area23=-nan, area4=-nan, dual_obj=-38827.8, p_obj=236935, heldout Acc=0.254556 (4/100), overall time=76759.3
i=17, infea=0.247895, nnz_a=13.1124, nnz_b=18.6084, uni_search=34.5667, uni_subSolve=0.69652, uni_maintain=0.815069, bi_search=6351.58, bi_subSolve=6.09048, bi_maintain=4.25731, admm_maintain=1.23916, area1=-nan, area23=-nan, area4=-nan, dual_obj=-40805.6, p_obj=230736, heldout Acc=0.267084, overall time=83165.3
i=18, infea=0.257549, nnz_a=13.5593, nnz_b=19.5472, uni_search=34.2923, uni_subSolve=0.715496, uni_maintain=0.832647, bi_search=5825.56, bi_subSolve=5.68113, bi_maintain=4.12293, admm_maintain=1.50148, area1=-nan, area23=-nan, area4=-nan, dual_obj=-42755.6, p_obj=184616, heldout Acc=0.248292 (1/100), overall time=89044.6
i=19, infea=0.266893, nnz_a=13.9888, nnz_b=20.4802, uni_search=35.3829, uni_subSolve=0.812651, uni_maintain=0.940848, bi_search=6322.92, bi_subSolve=6.20223, bi_maintain=4.50431, admm_maintain=0.987084, area1=-nan, area23=-nan, area4=-nan, dual_obj=-44676.1, p_obj=218055, heldout Acc=0.237472 (2/100), overall time=95423.2
i=20, infea=0.275949, nnz_a=14.4046, nnz_b=21.4066, uni_search=39.6431, uni_subSolve=0.941623, uni_maintain=1.08357, bi_search=5810.9, bi_subSolve=5.77846, bi_maintain=4.42045, admm_maintain=1.32266, area1=-nan, area23=-nan, area4=-nan, dual_obj=-46564.7, p_obj=210170, heldout Acc=0.252847 (3/100), overall time=101294
